please input the source port: 第一次握手成功发送
第二次握手成功接收
第三次握手成功发送
curpackNum,winSize
0,1
1
pic size: 14858824
curpackNum,winSize
1,1
2,2
3,2
4,3
5,3
6,4
7,4
8,5
9,5
10,6
11,6
12,7
13,7
14,8
15,8
16,9
17,9
18,10
19,10
20,11
21,11
22,12
23,12
24,13
25,13
26,14
27,14
28,15
29,15
30,6
31,4
32,5
33,5
34,6
35,6
36,7
37,7
38,8
39,8
40,9
41,9
42,10
43,10
44,11
45,11
46,12
47,12
48,13
49,13
50,14
51,14
52,15
53,15
54,16
55,16
56,17
57,17
58,18
59,18
60,19
61,19
62,20
63,20
64,5
65,5
66,6
67,6
68,5
69,6
70,1
71,4
72,4
73,5
74,5
75,6
76,6
77,7
78,7
79,8
80,8
81,9
82,9
83,10
84,10
85,11
86,11
87,12
88,12
89,13
90,13
91,14
92,14
93,15
94,15
95,16
96,16
97,7
98,5
99,5
100,6
101,6
102,3
103,4
104,4
105,3
106,4
107,4
108,5
109,5
110,6
111,6
112,7
113,7
114,8
115,8
116,9
117,9
118,10
119,10
120,11
121,11
122,12
123,12
124,13
125,13
126,14
127,14
128,15
129,15
130,16
131,16
132,1
133,2
134,2
135,3
136,3
137,4
138,4
139,5
140,5
141,6
142,6
143,7
144,7
145,8
146,8
147,9
148,9
149,10
150,10
151,11
152,11
153,7
154,7
155,5
156,5
157,2
158,3
159,3
160,4
161,4
162,5
163,5
164,6
165,6
166,7
167,7
168,8
169,8
170,9
171,9
172,10
173,10
174,11
175,11
176,12
177,12
178,6
179,6
180,4
181,3
182,2
183,3
184,3
185,4
186,4
187,5
188,5
189,6
190,6
191,7
192,7
193,8
194,8
195,9
196,9
197,10
198,10
199,11
200,11
201,12
202,12
203,13
204,13
205,14
206,14
207,15
208,15
209,7
210,5
211,5
212,6
213,6
214,3
215,4
216,4
217,3
218,4
219,4
220,5
221,5
222,6
223,6
224,7
225,7
226,8
227,8
228,9
229,9
230,10
231,10
232,11
233,11
234,12
235,12
236,13
237,13
238,4
239,4
240,3
241,4
242,5
243,1
244,3
245,3
246,4
247,4
248,5
249,5
250,6
251,6
252,7
253,7
254,8
255,8
256,9
257,9
258,10
259,10
260,11
261,11
262,12
263,12
264,13
265,13
266,14
267,14
268,15
269,15
270,5
271,5
272,2
273,2
274,4
275,4
276,2
277,3
278,3
279,4
280,4
281,5
282,5
283,6
284,6
285,7
286,7
287,8
288,8
289,9
290,9
291,10
292,10
293,11
294,11
295,7
296,7
297,3
298,4
299,4
300,5
301,5
302,6
303,6
304,7
305,7
306,8
307,8
308,9
309,9
310,6
311,6
312,7
313,7
314,8
315,8
316,9
317,9
318,10
319,10
320,11
321,11
322,12
323,12
324,13
325,13
326,14
327,14
328,15
329,15
330,7
331,7
332,8
333,8
334,5
335,6
336,6
337,4
338,3
339,4
340,4
341,5
342,5
343,6
344,6
345,7
346,7
347,8
348,8
349,9
350,9
351,10
352,10
353,11
354,11
355,12
356,12
357,13
358,13
359,14
360,14
361,15
362,15
363,5
364,4
365,4
366,5
367,5
368,2
369,4
370,5
371,5
372,6
373,6
374,7
375,7
376,8
377,8
378,9
379,9
380,10
381,10
382,11
383,11
384,12
385,12
386,13
387,13
388,5
389,6
390,6
391,4
392,5
393,5
394,6
395,6
396,7
397,7
398,8
399,8
400,9
401,9
402,10
403,10
404,11
405,11
406,12
407,12
408,13
409,13
410,14
411,14
412,15
413,15
414,16
415,16
416,17
417,17
418,3
419,4
420,4
421,5
422,5
423,6
424,3
425,3
426,2
427,3
428,3
429,4
430,4
431,5
432,5
433,6
434,6
435,7
436,7
437,8
438,8
439,9
440,9
441,10
442,10
443,11
444,11
445,12
446,12
447,13
448,13
449,14
450,14
451,6
452,7
453,7
454,5
455,5
456,6
457,6
458,7
459,7
460,8
461,8
462,9
463,9
464,10
465,10
466,11
467,11
468,12
469,12
470,13
471,13
472,6
473,6
474,7
475,7
476,5
477,5
478,6
479,6
480,4
481,5
482,5
483,6
484,6
485,7
486,7
487,8
488,8
489,9
490,9
491,10
492,10
493,11
494,11
495,12
496,12
497,13
498,13
499,14
500,14
501,15
502,15
503,16
504,16
505,17
506,17
507,5
508,5
509,6
510,6
511,1
512,3
513,4
514,4
515,5
516,5
517,6
518,6
519,7
520,7
521,8
522,8
523,9
524,9
525,10
526,10
527,11
528,11
529,12
530,12
531,13
532,13
533,14
534,14
535,15
536,15
537,16
538,16
539,17
540,17
541,5
542,6
543,6
544,7
545,7
546,2
547,2
548,4
549,4
550,5
551,1
552,4
553,4
554,5
555,5
556,6
557,6
558,7
559,7
560,8
561,8
562,9
